Course Name,M,H,D,I,F,V,E,G,J,IIA,IIB,IIC,C,VII,K,VI,IV,Z,IB
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Other V2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Other V3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Other V4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Other V5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Other V6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
People and Literature,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
People and Literature II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
People and Literature V2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
People and Literature V2 II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Physics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Portfolio Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Portfolio Photo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Pre-Calculus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Probability and Statistics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Researchers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Roots Music,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Social Studies (BE),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Spanish A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Spanish A V2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Spanish B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Spanish B V2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Street Band,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Studio Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
The Renaissance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
US History and Lit: The 20th Century,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0
US History and Lit: The 20th Century II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Utopia/Dystopia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Video Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
